商品ID,商品名,商品説明,カテゴリ,商品URL,計測用URL(UTM付き),画像URL,販売価格(税込),在庫
63,クウラ(FB01-105/L☆),FB01 覚醒の鼓動 収録,FB01 覚醒の鼓動 > L☆,https://www.kamehouse-db.com/product/63,https://www.kamehouse-db.com/product/63?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_d77b72.JPG,720,あり
1826,【A-】クウラ(FB01-105/L☆),FB01 覚醒の鼓動 収録,SALE,https://www.kamehouse-db.com/product/1826,https://www.kamehouse-db.com/product/1826?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_d77b72.JPG,650,あり
75,セル(FB02-084/SR☆),FB02 烈火の闘気 収録,FB02 烈火の闘気 > パラレル,https://www.kamehouse-db.com/product/75,https://www.kamehouse-db.com/product/75?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_b39a87.JPG,540,あり
6,ベジット (FB02-139/SCR☆),FB02 烈火の闘気 収録,FB02 烈火の闘気 > SCR,https://www.kamehouse-db.com/product/6,https://www.kamehouse-db.com/product/6?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_416552.JPG,2750,あり
657,バビディ(E03-04/☆),エナジーマーカーパック03 収録,エナジーマーカー > エナジーマーカーパック03,https://www.kamehouse-db.com/product/657,https://www.kamehouse-db.com/product/657?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250302_c54f50.jpeg,1830,あり
382,ジャネンバ(FB05-080/SR☆),FB05 未知なる冒険 収録,FB05 未知なる冒険 > パラレル,https://www.kamehouse-db.com/product/382,https://www.kamehouse-db.com/product/382?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250127_cc1304.jpeg,540,あり
387,孫悟空(FB05-119/SCR☆),FB05 未知なる冒険 収録,FB05 未知なる冒険 > SCR,https://www.kamehouse-db.com/product/387,https://www.kamehouse-db.com/product/387?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250127_c4e5c8.jpeg,8270,あり
503,ブラ:GT(FB03-127/UC☆),【プロモーションカード】 アニバーサリーパック03 収録,プロモーションカード > アニバーサリーパック,https://www.kamehouse-db.com/product/503,https://www.kamehouse-db.com/product/503?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250214_316b5d.jpeg,3210,あり
1015,人造人間16号(SB01-002/R☆),SB01 MANGA BOOSTER 01 収録,SB01 MANGA BOOSTER 01 > パラレル,https://www.kamehouse-db.com/product/1015,https://www.kamehouse-db.com/product/1015?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250626_ec3792.jpeg,5050,あり
2144,ナッパ（SB01-024 UC）,SB01 MANGA BOOSTER 01 収録,SB01 MANGA BOOSTER 01 > R以下,https://www.kamehouse-db.com/product/2144,https://www.kamehouse-db.com/product/2144?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/product_47608836.jpg,80,あり
1019,ブルマ(SB01-045/L☆),SB01 MANGA BOOSTER 01 収録,SB01 MANGA BOOSTER 01 > L☆,https://www.kamehouse-db.com/product/1019,https://www.kamehouse-db.com/product/1019?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250626_114af2.jpeg,43980,あり
996,クリリン(SB01-051/UC☆),SB01 MANGA BOOSTER 01 収録,SB01 MANGA BOOSTER 01 > パラレル,https://www.kamehouse-db.com/product/996,https://www.kamehouse-db.com/product/996?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20250626_3c2fcb.jpeg,5050,あり
1507,孫悟飯：少年期(FB08-106/SR☆),FB08 誇り高き戦闘民族 収録,FB08 誇り高き戦闘民族 > パラレル,https://www.kamehouse-db.com/product/1507,https://www.kamehouse-db.com/product/1507?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20251213_ff9d0a.jpeg,7350,あり
1669,人造人間17号（FB09 FB09-029 UC★）,FB09 VUAL EVOLUTION,FB09 DUAL EVOLUTION > パラレル,https://www.kamehouse-db.com/product/1669,https://www.kamehouse-db.com/product/1669?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260316_3edb10.jpg,1270,あり
1679,全王（FB09 FB09-031 SR★）,FB09 VUAL EVOLUTION,FB09 DUAL EVOLUTION > パラレル,https://www.kamehouse-db.com/product/1679,https://www.kamehouse-db.com/product/1679?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260316_bc9d92.jpg,720,あり
